at,userName,content,score,application
2022-12-31 15:33:31,Miftah Assundawi,di update malah ngabisin pulsa buat verifikasi lewat sms parah nih bca ribet verifikasi biasanya lewat sms saja sekarang pake ktp sama wajah juga bikin lama aja mau masuk login nya bintang satuberbicara semoga kedepannya bisa lebih baik,1,BCA
2022-12-31 09:31:31,muhamad maulana ahsan,udah scan dokumen sama scan wajah berulang kali tetep gabisa dipake malah harus pengkinian data ke cabang terdekat makin ga efisien aja apk nya,1,BCA
2022-12-31 06:42:45,Lanjutkan Di Kita Official,adminnya jawaban selalu monoton mohon mengirimkan screenshoot ke email atau twiternya bca jawabannya udh pasti disuruh ke bank bca terdekat untuk pembaharuan datalha apa gunanya aplikasi kalo harus ke kantor cabangalasannya dengan dalih menghindari penipuan onlineyang harus dibenerkan itu aplikasinya bukan nasabahnyaaplikasimu itu jelek harus di rubah lagi,1,BCA
2022-12-31 05:59:59,Beizi Nakata,aplikasi ini menjadi gak guna masa mengenali wajah pemilik nya gak bisa sudah di coba 3x gagal terus padahal disurut moto ktp langsung terus verifikasi wajah tetep gagalbagusan bri mobile gak ribet sangat mengecewakan sekali aplikasi bca mobile,1,BCA
2022-12-31 03:45:08,Akhmad Supriyanto,di update malah nyusahinlogin beberapa kali tetep aja gak bisa masukdi perifikasi wajah nya gagal terusmungkin banyak yang ngeluh juga tentang initolong koreksi lagiko bca jadi ribet sekarang,1,BCA
2022-12-30 16:32:06,Pipit Mpyt,dari dulu saya sangat suka apk mbanking ini koneksinya lebih cepet dr yg lain dan lebih mudah setelah ada pembaharuan saya update data pas verifikasi foto gagal terus saya kecewa krn saya sudah datang ke kantor cabang juga tetap gagal tolong diperbaiki aplikasinya,1,BCA
2022-12-30 15:49:33,Cah Banten,verifikasi muka yg gagal terus sangat mempersulit dan memperlambat bagi nasabah untuk bertransaksi klu msh blm bnr ini aplikasi nya knp harus d rilis k publik jadi ga jelas tlpn k hallo bca jg harus nunggu 2 hari kerja,1,BCA
2022-12-30 12:37:45,Samz Arif,sy ganti hp pas mau masuk lg skrg ada verifikasi via ktp sy udh isi data sesuai ktp foto selfietapi tetap tidak bs masuk saya coba beberapa kali sampai pulsa saya kepotong berkali2tetap tidak bisakatanya harus kekantor cabang terdekatkenapa bca menjadi seribet ini skrgmenyusahkan nasabah dengan alasan keamanan tapi kualitas aplikasinya tidak akurat kecewa,1,BCA
2022-12-30 11:58:28,Damay Shoppu,qrist terima dana sekarang hilang padahal sangat memudahkan saat mau transaksi transfer tombol tampilkan qrist hilang biasanya buat terima transfer pihak yg mau transfer tinggal scan qrist aja,4,BCA
2022-12-29 23:51:22,Mochamad Romadhon,teknologi scan isi data ktp otomatis sudah sesuai tapi teknologi scan wajah masih kurang mumpuni sudah berkalikali mencoba di tempat yang terang dan mencoba ganti hp masih saja tetap tidak bisa rekomendasi di suruh pengkinian data di kantor cabang sangat mengecewakan,1,BCA
2022-12-29 21:00:32,Mas Candra,untuk masuk masih jadul karena menggunakan sms pulsa sampek habis karena bug mohon kalau bisa melalui wa seperti bank bank lainnya terimakasih,2,BCA
2022-12-29 17:58:33,BONDAN BARGOD,kok selalu blom bisa di akses setiap buka aplikasi ini di tanggal akhir bulan ini apa perlu uninstall lagi dan donload lagi nggak sedep jadinya huuuu,2,BCA
2022-12-29 16:53:53,M Rizal,entah kenapa sering terjadi error dan gangguan koneksi padahal sinyal selular dan koneksi wifi baik baik saja,2,BCA
