,at,userName,content,score
0,2022-12-31 15:33:31,Miftah Assundawi,di update malah ngabisin pulsa buat verifikasi lewat sms parah nih bca ribet verifikasi biasanya lewat sms saja sekarang pake ktp sama wajah juga bikin lama aja mau masuk login nya bintang satuberbicara semoga kedepannya bisa lebih baik,1
1,2022-12-31 09:31:31,muhamad maulana ahsan,udah scan dokumen sama scan wajah berulang kali tetep gabisa dipake malah harus pengkinian data ke cabang terdekat makin ga efisien aja apk nya,1
2,2022-12-31 06:42:45,Lanjutkan Di Kita Official,adminnya jawaban selalu monoton mohon mengirimkan screenshoot ke email atau twiternya bca jawabannya udh pasti disuruh ke bank bca terdekat untuk pembaharuan datalha apa gunanya aplikasi kalo harus ke kantor cabangalasannya dengan dalih menghindari penipuan onlineyang harus dibenerkan itu aplikasinya bukan nasabahnyaaplikasimu itu jelek harus di rubah lagi,1
3,2022-12-31 05:59:59,Beizi Nakata,aplikasi ini menjadi gak guna masa mengenali wajah pemilik nya gak bisa sudah di coba 3x gagal terus padahal disurut moto ktp langsung terus verifikasi wajah tetep gagalbagusan bri mobile gak ribet sangat mengecewakan sekali aplikasi bca mobile,1
4,2022-12-31 03:45:08,Akhmad Supriyanto,di update malah nyusahinlogin beberapa kali tetep aja gak bisa masukdi perifikasi wajah nya gagal terusmungkin banyak yang ngeluh juga tentang initolong koreksi lagiko bca jadi ribet sekarang,1
5,2022-12-30 16:32:06,Pipit Mpyt,dari dulu saya sangat suka apk mbanking ini koneksinya lebih cepet dr yg lain dan lebih mudah setelah ada pembaharuan saya update data pas verifikasi foto gagal terus saya kecewa krn saya sudah datang ke kantor cabang juga tetap gagal tolong diperbaiki aplikasinya,1
6,2022-12-30 15:49:33,Cah Banten,verifikasi muka yg gagal terus sangat mempersulit dan memperlambat bagi nasabah untuk bertransaksi klu msh blm bnr ini aplikasi nya knp harus d rilis k publik jadi ga jelas tlpn k hallo bca jg harus nunggu 2 hari kerja,1
7,2022-12-30 12:37:45,Samz Arif,sy ganti hp pas mau masuk lg skrg ada verifikasi via ktp sy udh isi data sesuai ktp foto selfietapi tetap tidak bs masuk saya coba beberapa kali sampai pulsa saya kepotong berkali2tetap tidak bisakatanya harus kekantor cabang terdekatkenapa bca menjadi seribet ini skrgmenyusahkan nasabah dengan alasan keamanan tapi kualitas aplikasinya tidak akurat kecewa,1
8,2022-12-30 11:58:28,Damay Shoppu,qrist terima dana sekarang hilang padahal sangat memudahkan saat mau transaksi transfer tombol tampilkan qrist hilang biasanya buat terima transfer pihak yg mau transfer tinggal scan qrist aja,4
9,2022-12-29 23:51:22,Mochamad Romadhon,teknologi scan isi data ktp otomatis sudah sesuai tapi teknologi scan wajah masih kurang mumpuni sudah berkalikali mencoba di tempat yang terang dan mencoba ganti hp masih saja tetap tidak bisa rekomendasi di suruh pengkinian data di kantor cabang sangat mengecewakan,1
10,2022-12-29 21:00:32,Mas Candra,untuk masuk masih jadul karena menggunakan sms pulsa sampek habis karena bug mohon kalau bisa melalui wa seperti bank bank lainnya terimakasih,2
11,2022-12-29 17:58:33,BONDAN BARGOD,kok selalu blom bisa di akses setiap buka aplikasi ini di tanggal akhir bulan ini apa perlu uninstall lagi dan donload lagi nggak sedep jadinya huuuu,2
12,2022-12-29 16:53:53,M Rizal,entah kenapa sering terjadi error dan gangguan koneksi padahal sinyal selular dan koneksi wifi baik baik saja,2
13,2022-12-29 16:44:07,Tukang Cendol Keliling,semenjak diupdate waktu dibuka mau transfer ke orang tua malah dimintain verifikasi wajah dan ktp akan tetapi waktu di verifikasi wajah selalu gagal anehh banget ini aplikasi udah nelfon ke hallo bca pun tetep gabisa dan solusinya gitu gitu aja cuma habisin pulsa aja buat telfon hallo bca dan juga saya sudah datang ke cabang bca terdekat tetap saja tidak bisa cepat cepat diperbaiki bug ini karena sungguh sangat mengganggu aktivitas kami para pengguna mbca terimakasih,1
14,2022-12-29 16:44:00,Uyur Aahh,mohon di perbaiki lagi aplikasinyasekarang terlalu ribet update nya belum matang masak mau fertivikasi foto wajah aja gabisa udah di coba berkali kali dan ganti2 tempat tetap tidak bisa alhasil saya tidak bisa membuka m banking saya,1
15,2022-12-29 07:12:13,Restu Nugraha,verifikasi muka susaahhhh sudah 3 hari ngurusin ginian doang ujung2nya jd pakai bank lain klo memang ningkatin keamanan knp ga pakai verifikasi emailnomor telfon tiap kali transaksi dari pada kaya gini mn hasil kamera depannya ikutan berubah ketimbang aslinya,1
16,2022-12-29 04:01:56,Deni Ramdani,setelah updat jd gak bisa buka aplikasinya karna selalu sala memasuka data padahaldatanya sudah benar mohonbantuan nya supaya tida ada vrevikasi lagi biarjd gampang masuk,5
17,2022-12-28 23:37:43,rocky ma thigan,lama mbangking bca gak memuaskan pada saat mau login gak bisa no hp gak valid kata gitu di hapus di coba masuk kan lagi di suruh verifikasi wajah dan data2 asli padahal smua sudah benar data2 nya sama wajah nya pun benar masasih di suruh datang ke cabang bca buat buang waktu tolong di perbaikin tuh aplikasi mbangking bca nya,1
18,2022-12-28 20:58:15,Nur Aida,saya ganti device pas mau login memerlukan verifikasi wajah tapi aneh nya gagal mulu heran verifikasi ulang udah hampir 15x pulsa abis akun gak masukmasuk ini gimana pengenalan wajah nya kok susah amat masa harus pake wajah 5 tahun lalu,1
19,2022-12-28 20:30:24,Si Malas,kek ee min jaringan bagus paket banyak internetan lancar giliran mau transfer buru2 ini mbca biru terus gak ijo2 tunggu sampai lampu warna hijau nyala gitu terus udah kayak ee aja nih apk,1
