,at,userName,content,score
0,2022-12-31 20:50:01,M. Romi Alfianto,note untuk bni klo untuk mobile tunai lebih baik tidak usah pake otp soalnya udah verifikasi pake password mobile banking bri aja ga ribet untuk tarik tunai asal valid masukin passpin trims,1
1,2022-12-31 19:18:10,Bey Dalfir,sempat merasa kecewa karena setelah di update tidak bisa digunakan tapi setelah di uninstal aplikasinya dan restar hp instal kembali app baru bisa digunakan semoga lebih di tingkatkan lagi,4
2,2022-12-31 13:13:13,babeh adv,kenapa aplikasi bni mobile ku sekarang lemot banget pas log in nya nunggu ada 10menit sudah kebuka tapi menu2 pilihannya ngga bisa di pencet sama sekali sudah hapus cachebahkan sudah hapuz data tapi hasilnya sama sekali tidak bisa dipakai tolong perbaiki lahagar memudahkan saya bertransaksi,3
3,2022-12-31 09:02:40,Asep Kurniawan,saya sudah bikin laporan terkait transaksi saya yg gagal baru kali ini saya mengalaminya transfer antarbank dengan status gagal saldo sudah kepotong tapi saldo belum masuk tolong untuk development segera diperbaiki lagi aplikasinya dua kali saya alami transfer gak masuk padahal saldo sudah terpotong jadi saya turunin bintangnya saya coba call bni center gak tersambung,2
4,2022-12-31 09:00:09,Agus Yudhistira,hallo ini aplikasi kenapa gak bisa dibuka terus apa sistem lagi maintenance atau down sistem nya aplikasi sebelah seperti livin brimo dan bca mobile bisa semua terbuka dihp,2
5,2022-12-31 08:36:46,Fahmy,sama saja sudah restart sistem versi terbaru dll tetap aplikasi terus berhenti mau transaksi jadi susah apalagi di daerah pedalaman yg jauh akses ke bank terdekat dan atm setelah update bukannya semakin bagus malah semakin menyusahkan nasabah mohon segera diperbaiki sudah 3 hari selalu gagal buka aplikasinya lama kelamaan para nasabah berpindah ke bank sebelah aja klo begini terus dan tolong masukan dan komentar ditindaklanjuti secepatnya karena segala keluhan nasabah yg harus diutamakan,1
6,2022-12-31 01:28:33,Eko Nurbiantoro,makin kesini makin gak jelas terdetksi terdapat aplikasi berbahaya masalahnya aplikasi mbanking bank sebelah bisa aja dan hp saya terjamin aman udah kontak cs via email gak ada balasan perbaiki lagi jangan nyusahin gini lah,1
7,2022-12-31 00:38:38,Robb Ardd,dana saya hilang entah kemana top up dana 300rb status terkirim saldo bni juga berkurang tapi di aplikasi dana sama sekali belum masuk saya coba top up dana ke nomor yg sama senilai 200rb malah masuk yg 300rb kemana chat live agent ditunggu berjam2 gak respon tolong pelayanannya diperbaiki dan saldo saya yg 300rb dikembalikan,1
8,2022-12-30 22:15:03,Fera Nikma,sangat membantu dan saya merasa terbantu dlu sulit login dan sering ngelag pdhl sinyal bagusalhamdulilla sekarang lebih cepat dan lancar mantab pokoknya,5
9,2022-12-30 18:16:05,Lalu Beno,kenapa yadari pagi saya buka tapi katanyamohon maaf kami sedang meningkatkan layanan mobil bangkingcoba beberapa saat lagitapi sampe sekarang belom bisaterus saya tanya temen sayapunya mereka bisa kenapa ya min mohon arahannya min terima kasih,2
