,at,userName,content,score
0,2022-12-31 16:55:46,icha kindly,mau transaksi tdk bisa katanya hrs update versi terbaru sdh di update tapi apk tdk bisa di instal sdh di coba beberapa kali sampe ngabisin waktu kenapa sih jd dipersulit begini mana udah nunggu lama dan perlu banget tetep ga bisa di instalribet,1
1,2022-12-31 13:42:20,Amira Eliezer,aplikasi yang kurang bagus dimasalah penarikan kenapa tidak ada jumlah penarikan lainadanya penarikannya kelipatan 100 sampai dengan 1jt gimana kalau misalkan nasabah mau ambil 750rb itu tidak bisa tolong diperbaiki lagi baru di launching dan baru tuh gak gak di bolehin pake kartu aplikasinya aja masih begini,4
2,2022-12-30 22:01:18,ahmad marzuki,aplikasinya sangat simpel respon servernya cepat cara kerjanya cepat kecuali aplikasi brimonya ada pengembanganperbaikan24jam nonstop cara kerjanyapokokknya saya suka aplikasi inikalau bisa bri memberi poin reward ketika setiap orang melakukan banyak transaksi di brimo yang bisa ditukar ke saldo gopayuang digital lainnyaserta dapat kode voucer belanja dengan discon banyak serta transaksi lainnyaok terimakasih sebelumnya brimo,5
3,2022-12-30 08:47:19,Mustagh Firin,beberapa bulan terahir fitur tarik tunai gk bisa di gunakan udah beberapa cara di gunakan mode pesawat log out hapus data pake wifi masih aja gk bisa kalau untuk fitur lain bisa semua kecuali tarik tunai,2
4,2022-12-30 05:59:59,Teguh Saputra,setelah diupdate sekarang malah jadi tidak bisa tarik tunai dan juga gagal bertransaksi ada notice transaksi melebihi limit harian padahal belum bertransaksi sebelumnya ayo dong segera diatasi atau nggak kembalikan aja ke versi yang lama aktifitas kami benar2 sangat terganggu,1
5,2022-12-30 05:42:58,Anak Golempang,sebelum di update transaksi beli pulsa gak ada masalah setelah diperbarui transaksi beli pulsa gak bisa selalu muncul tulisan berwarna merah maaf sistem kami sedang bermasalahaplikasi sekelas brimo yang berkaitan dengan rekening nasabah ko kayanya asal asalan ya gak bisa dipercaya,1
6,2022-12-29 16:15:39,Iwan Setiono,aplikasi yg kurang sempurna kalau menurut sayasejak saya download dan dipakailampu indikator saya selalu merahdan tidak bs dipergunakan sama sekalidan laporan ke cs juga tidak memuaskan saya sebagai pelanggan tolong diperbaiki sistem aplikasinya terima kasih,1
7,2022-12-28 20:10:58,Nafrizal Pratama,semakin di update bukannya bener malah sering ngulang waktu mau login jadi gak bisa login baru nulis username pas mau ngetik password eh muncul login baru lagi gitu terus gak bisa login tolong dibenerin diupdate harusnya makin bener bukan ngebug,1
8,2022-12-28 12:04:06,Adhe Harapan Panjaitan,baru sja download dan daftar brimo semua instruksi sdh dijalankan tiba pada pengecekan nomor hp dan email jawaban dari aplikasi pengecekan data blum sesuaicoba lagi besok hari padahal smua data yg dimasukkan sdh benar lucu aja disuguhkan aplikasi canggih untuk mempermudah tapi aplikasinya malah ga jelas auto delete mungkin bisa belajar dgn aplikasi livin mandiri dlu,1
9,2022-12-27 20:56:01,ahmad thoriqalfalah,katanya dipermudah tapi kenapa udah ngisi semua data pas proses perekaman video buat registrasi data selalu gagal padahal sudah melakukan sesui prosedur yang di apk bener bener kecewa banget tolong diperbaiki yaa biar mudah lagi padahal sudah tahap tiga capek tolonglah segera di perbaiki,1
10,2022-12-27 18:28:50,Addri Pasha,ini yg buat aplikasi pinternya nanggung mau daftar pas mau pilih tanggal lahir kelahiran 80an mundurnya perbulan lumayan jauhnya kebayang yg kelahiran 60an tak ada fitur langsung isi tanggal bulan dan tahun sementara bintang 2 dulu berapakali daftar kode belum masuk ke gmail tiap mau daftar ulang males kalo udah mulai ngisi tanggal lahir liat user banyak yg kasih bintang 1 alangkah buruknya aplikasi ini pengen hapus tapi butuh tapi lama2 kayaknya nggak butuh aplikasi ini,2
11,2022-12-27 17:05:34,GALANG Galang,sangat kecewa dengan update terbarunya karena saat saya melakukan transaksi uang tidak keluar padahal saldo udah terpotong saat saya coba batalkan penarikan tetap sama aja uang tetap gak keluar padahal saldo udah kepotong saya pun telah melakukan pengaduan melalui apk brimo atas kendala yang saya alami namun sampai sekarang saldo saya belum kembali saya harap bisa cepat di perbaikik ya makasih,1
12,2022-12-27 11:30:42,BJ 47,tolong perbaiki koneksi internetnya masa iya awal buka apk bri mo saat login koneksinya malah terputus padahal jaringan saya sangat stabil saya pikir mungkin jaringan saya yg ngelag sampai log out dari apk bri mo dan coba login ke apk lain dan jaringan saya tetep stabil aplikasi lainnya berjalan lancar,4
13,2022-12-27 07:07:51,Uyum Whae,aplikasi yg sangat menguji kesabaran adanya aplikasi bertujuan untuk mempermudah urusan tapi tidak untuk brimo urusan tidak kunjung usai yg ada malag nge bug terus ni aplikasi take video sampai 15x endingnya aplikasi nge bug bagus,1
14,2022-12-27 06:43:35,Mey Silitonga,trimakasih brimo jadi mudah kapan saja mau kirim uang tanpa harus ke atm puas bgt dgn pengalaman sayamau isi pulsa disaat kapanpun ok mau beli token listrikbayar listrik kapanpun jadi sngt mudah sangant menguntungkan waktu bagiku brimo slalu dihati trimakasih banyak unk aplikasinya hanya jaringan yg buat lelet saat jaringan tak baik yg menentukan kelancaran adalah jaringan,5
15,2022-12-26 23:39:21,koko dorks,aplikasi mandang spek hp minimal android 8 jika hp anda dibawah android 8 maka akan sering force close tidak akan bisa transaksi apapun login saja susah auto close app,1
16,2022-12-26 23:17:06,Syahru Ramadhan,tadi siang kebetulan saya butuh uang tunai dan lupa bawa atm pas mau coba pakai menu tarik tunai di brimo tiba2 tidak mau terbuka dan notifikasi yang muncul katanya jaringan kurang bagus padahal jaringan sy normal dan bagus bahkan saya coba putar youtube lancar2 tidak ada bufferingnya sebenarnya ada kendala apasih di aplikasi ini sungguh mengecewakan maaf ratingnya saya kurangi,3
17,2022-12-26 18:31:28,sevi chrisnani,aplikasi mbanking paling terburuk yang pernah dipakai daftar akun kirim sms verifikasi berulang kali selalu 404 not found ketika berhasil lanjut ke email gagal otp terus katanya data tidak sesuai saya ke bank malah disuruh nyoba berulang kali di aplikasi disuruh uninstall reinstall entah yg ke berapa dilakukan minta atm habis entah sampai kapan pengennya ga ribet malah ribet sekali,1
18,2022-12-26 14:15:32,Wenny Wulan,sgt kecewa sudah download awalnya lama krn memory besar banget sampai saya harus hapus2in aplikasi lain setelah terdownload untuk daftar akunnya di bagian rekaman tidak terdeteksi terus harus bagaimana memangnya pdhl bbrp hari sebelumnya dtg ke cs bri ktnya bisa daftar sendiri di rumah hmm pdhl cuman ingin melihat mutasi rekening aja,1
19,2022-12-26 14:14:17,Suwandi Suwandi,begitu ambil verifikasi video juga tidak berhasil padahal paket data saya stabil banget tolong diperbaiki saya nasabah setia sudah lama banget dengan bri tapi aplikasi ebanking terbaru ini belum stabil begitu verifikasi video gagal mulu padahal sudah mengikuti petunjuk nya terimakasih,1
20,2022-12-26 12:12:12,Tama Rock,aplikasi ter ribet sedunia dan bikin emosi kalau error spek hape samsung s21ultra pulsa ada smart userlah bisa di errorkan oleh sistem padahal username dan password sama ototmatis bikin password baru yang ribetnya dan banyak menunggu 1 jam lah jika over percobaan gak jelas otp cuman 3 menit lah capek demi sebuah password belibet roatingnya kemanamana,1
21,2022-12-25 14:10:52,Nifhah Husnayaeni,saya mau registrasi tapi dalam upload video tidak bisa dan selalu kembali ke layar ambil video saya sudah sesuai instruksi suara jelas tidak membelakangi cahaya jaringan wifi dan data pun tidak bermasalah kemudian saat keluar dan mencoba registrasi selalu muncul transaksi gagal kode sivo tolong diperbaiki,3
22,2022-12-24 17:15:57,Erma ErwanRisma,aplikasi yang sangat burukmau buat brimo kesulitan saat upload video nyadan ini kesekian kali nyasaya sengaja nyoba lagi download dan bikinkarena beberpa bulan lalu pernah download aplk ini dan sama saja kesulitan saat upload videoaplikasi yang sangat buruk dan mubadzir sekali,1
23,2022-12-24 14:11:55,Zara Ramadhani Lubis,memudahkan nasabah dalam melakukan transaksi tetapi paling kesel adalah sering nya gangguan jaringan dan seringkali susah jika mau melakukan stir tunai dan tf karena gangguan jaringan mohon di tingkatkan sistem nya agar tidak mudah gangguan,4
24,2022-12-23 17:25:34,Rahmatuts Tsaniah,gila ya ini aplikasi aku registrasi dari bukan juli sampai sekarang ga bisabisa bukan karena jaringan tapi emang sistemnya yang error bahkan berulang kali dateng ke taler buat minta bantuan registrasi tetep aja ga bisa dan seolah ga ada perbaikan padahal banyak yang mengeluhkan belum lagi kartu ku ketelen dan setiap ke bank kartunya selalu kosong tolong banget lah sistemnya diperbaiki,1
25,2022-12-23 09:52:07,fernando will,terlalu ribet tidak mempermudah pemakaian pengguna username dan password sudah di gunakan dengan baik tapi masih saja di bilang salah maksudnya bagaimana yah kalau sistemnya error seperti ini sebaiknya di perbaiki secepatnya agar tidak mengecewakan,1
26,2022-12-23 09:21:07,Barayyy,udah 1 bulan ga bisa narik pake brimo menu penarikannya loading terus udah berulang kali uninstal dan instal aplikasi tapi tetap tidak ada perubahan jaringan saya aman gaada masalah tolong diperbaiki secepatnya terimakasih,1
27,2022-12-22 13:26:59,Imam Kurniawan,jangan update yg tidak jelas apalagi perihal tampilan2 dan ui cukup perbaiki sistem dan pertahankan kinerja jangan asal di butuhkan aplikasi error ini uda sistem cardless masa mau tarik tunai error2 mulu tampilan itu gapenting yg penting kinerja tolong di note,3
28,2022-12-21 23:43:11,salsa caca,ribet banget ya cuma mau bikin m banking aja cara rumit banget jaringan udah stabil semua udah sesuai instruksi masih tetap gagal terus di verifikasi wajah tolong dong perbaiki sistem dipermudah jangan mempersulit nasabah nya percuma bikin aplikasi m banking tapi ga efisien bagi pengguna nya huh mengecewakan,1
29,2022-12-21 22:33:26,fitri ani,saya udah rekam wajah berulang kali tetap gagal saya keluar dari apk nya dan mau coba ulang lgi malah transaksi gagal melulu kecewa disaat butuh dana mendadak untuk biaya malah kendala pula disininya infonya dong biar lebih mudah lgi registrasinya,1
30,2022-12-21 16:56:35,Ade Weilly,update kok tambah jelek lebih bagus yg dulu sebelum update lemot boros batre bikin hp panas respon setiap menu lambat bahkan sering keluar sendiri saat digunakan ditengah2 transaksi dan pling bosen liat robot berkepala radio itu nongol dan nongol terus,1
31,2022-12-21 15:49:52,Ayep Supriatna,verifikasi wajah susahnya minta ampunwaktu yg diberikan habis untuk ngepasin wajah sama garisdan gagal terus terusan meskipun disinyal yg bagus mending uninstal jgn download aplikasi parah paraaahhhhhhhklo bisa kasih bintang 12 pilih yg setengah atau tanpa bintang,1
32,2022-12-20 11:26:37,Sy Falah,susah banget daftarnya harus ulang ulang merekam video udah seminggu belum bisa hugs terlalu apa yg bikin ga bisa diupload rekaman video nya berulangkali direkam gagal teruuuus habis waktu jg kuota kalo belum siap bikin aplikasi sebaiknya belajar lagi sama bonge p arahhhhhh sampai hari ini sudah berapa puluh kali dan selalu gagal divideo verivikasi sesulit itukah untuk mendaftar dan pasang apk brimo dan kalo ga ada tindak lanjut bukan cuman bintang 1apk nya juga sy hapus,1
33,2022-12-20 11:06:14,Reza Kurnia,tolong untuk pihak bri lebih berbenah lagi optimalkan aplikasinya mengingat mbanking sangat dibutuhkan di era sekarang perbaiki transaksi yang terkadang pending dan perbaiki juga sistem sering down padahal jaringan kenceng yok sekelas bank bri pasti bisa untuk lebih mengoptimalkan sistemnya ini demi kebaikan bersama jika aplikasi lancar nasabah juga akan merasa nyaman,4
34,2022-12-20 01:48:07,Tohari Tohari,saat upload rekaman sangatlah sulit selalu gagal sudah coba berulangkali tete aja gagalselalu tidak ada jaringanpadahal wifi lancar sinyal juga lancartapi selalu gagal koneksi jaringanini si gimana,1
35,2022-12-19 18:29:14,안용태,aplikasi apa ini hahahaha link verifikasinya lama sekali pas masuk dobel dan gak bisa dipakai berulang terus seperti itu mending disebelah aja bukannya mempermudah malah mempersulit aplikasi cacat,1
36,2022-12-19 18:26:45,Iqbal Trianggoro Putro,begitu syulit membuat akun sendiri akun lama tibatiba dihapus pas buat akun baru malah dipersulit saat upload rekaman dan foto selalu gagal padahal sudah sesuai dengan instruksi di layar dicoba berkalikali masih saja gagal,1
37,2022-12-19 13:22:34,dany triw,aplikasi penguji kesabaran jika ingin menguji seberapa level kesabaran anda pakailah brimo ebanking paling nggak stabil sering nge bug dan suddenly stop sinyal turun sedikit langsung stop sdh komplain scr offline tapi tidak ada perbaikan semakin buruk versi terbarunya,1
38,2022-12-19 12:22:57,Similikiti Sintisi,menu tarik tunai tidak bisa di gunakan menu lihat detail pada rekening ke 2 tidak bisa muncul sehingga tdk bisa menggunakan fasilitas disable kartu mohon diperbaiki y min terimakasih,1
39,2022-12-18 17:29:16,andkns [] ART,halo developmen mau kasih masukan ni kalau di menu transfer tarik tunai ditambah menu transfer pakai mesin atm pasti lebih memudahkan kita yg perlu struk soalya di perusahaanku perlu bukti transfer ori dari atm nanti kalau udah ada menunya tak kasi bintang 5 deh,1
40,2022-12-17 19:30:35,Sjn,respon cepat alhamdulilah setelah dilakukan update terbaru top up dplk lewat brimo sudah bisa dilakukan dan lancardan sekarang ada tambahan notif sinyal baik atau buruksehingga bisa melihat kapan melakukan transaksi yang aman mantap bintang 5 untuk aplikasi ini,5
41,2022-12-17 16:05:05,Ibnu Bintang Laksono,kenapa ya aplikasi brimo tidak bisa digunakan untuk transaksi untuk transfer tidak bisa untuk top up saldo uang digital tidak bisa bahkan sekedar untuk isi pulsa saja tidak bisa selalu keluar sendiri atau ada notifikasi merah dari awal saya menggunakan aplikasi brimo sampai sekarang tidak bisa digunakan untuk transaksi tolong diperbaiki lagi ya terima kasih,4
42,2022-12-17 15:23:37,Moch Junjun Apandi,takdi kasih bintang kejadianyang lalu masih terulang untung masih ada atm kalaucuma mengandalkan brimo berabe makanya kalau segala sesuatu itu jangan satu metode atmjangan di hilangkan buktinya pakai brimo tiba tiba berhenti sudah login tiba tiba berhenti 10 detik masuk tiba tiba berhenti parah,1
43,2022-12-16 17:20:58,Meqiyani 69,app nya kurang bgt dari registrasi sudah dipersulit penasaran sama developer apps nya udah nyoba berkalikali video nggak bisa sebelumnya punya akun lain di brimo gabisa dibuka alasan cek koneksi lagi coba deh lo liat ulasan akhir2 ini kendalanya kurleb sama di pembuatan video diperbaiki deh beban masyarakat tadi mau daftar lg ulang step awal malah error juga kek kesalahan aplikasi ini tuh dah lama bgt ga berubah2 percuma mbamas cs,1
44,2022-12-16 10:33:37,tutorial mantap,jelek sekali aplikasinya baru memasukkan no rekening notifikasinya data tidak benar bla bla padahal itu rekening udah lama dan data nya semua benar ngk ada kesalahan bukan mempermudah malah mempersulit pengguna brimo beda dgn apk sebelah daftarnya berjalan mulus tanpa ada hambatan kayak apk ini,1
45,2022-12-16 09:54:34,Keys 30,untuk verifikasi wajah selalu gagal sudah di ulang beberapa kali tetap gak bisa menurut pihak bri mau nya seperti apa verifikasi wajah ini bukannya mempermudah malah mempersulit mana untuk pengajuan atm baru tidak bisa di suruh beralih ke brimo malah seperti ini tolong responnya biar para nasabah tidak kecewa dengan bri,1
46,2022-12-15 20:32:57,mulyadi,knp gak bisa buka untuk transaksipadahal baru update aplselalu muncul infobatal dan laporkan terus dan kembali ke menu terpaksa setelah sekian lama menunggu tp tdk ada perubahanmaka saya putuskan untuk unistal aplikasi,2
47,2022-12-15 20:06:23,GUSTIAN BAKTIAR,mohon perbaharui di bagian tarik tunai aja biyar ada penarikan 50000 soalnya di mode lama pake atm masih ada nominal di 50000 dan hal pentingnya no 1 untuk ke amananya di perketat lagi dan buat untuk menu lainya sudah lumayan bagus,4
48,2022-12-15 19:24:24,echa rahma,dear tim bri kecewa banget saat mengupdate versi aplikasi bri yg baru sudah hapus pengaturan data dan cache kenapa tibatiba tidak bisa mengisi di top up dompet digital tertulis transaksi anda melebihi limid harian padahal sebelumnya tidak dengan safe mode menunggu 124 jam sangat mengganggu sebagai nasabah sah sudah verifikasi langsung di kantor bri ini sangat sangat sangat menyusahkan sekali tolong dong diperbaiki fiturnya agar bisa memudahkan transaksinya terima kasih,2
49,2022-12-15 10:30:29,Abdul Kodir Kodir,croott kalo ga bisa bikin aplikasi jngan bikin laahh ngabisin kuota aja sinyal bagus wifi kenceng pas upload video malah ga bisa ngeleg lagi auto gagal pas masuk lagi malah ga bisa log in aplikasi dongo gagal semua semua nya padahal udah punya rek bri udah lama,1
50,2022-12-15 09:29:06,felixaurianto silalahi,hanya mengambil foto ktp dan ambil video selalu tidak bisa padahal sudah coba pakai jaringan wifi dan paket data hp tetap tidak bisa dan gagal dan kualitas video sudah diusahakan seperti panduan yg disarankan tidak seperti aplikasi dari pihak bank sebelah lebih mudah canggih dan cepat tolong diperbaiki lagi terimakasih,1
51,2022-12-15 06:24:28,Mira 23,aplikasinya bagus cuman bank bri nya yg tidak bagus bukannya untung eehh malah rugi soalnya akun yang sudah lama tidak ada dan nomor yang tidak aktif lagi masih saja dibebankan pembayaran bukan hanya satu kali dalam sebulan tapi kadang 23 kali dalam sebulan malah penarikannya banyak kali ampun decch,3
52,2022-12-14 19:19:31,huurun gibran,ada yg ngalamin hal yang sama gak sih menu setor tunai di aplikasi brimo tiba menghilang dan tidak muncul lagi sudah berkali hapus data dan aplikasi juga sudah update tp menu setor tunai tetap tidak muncul jadi skrg mau setor tunai tanpa kartu jadi gak bisa padahal tadinya uda nyaman banget krn ada fasilitas tarik tunai setor tunai tanpa kartu tp skrg jadi bnr susah mau setor tunai tanpa kartu,1
53,2022-12-14 18:02:35,Nurul Afifah,setiap klik opsi tarik tunai selalu loading dan malah ga muncul proses untuk tarik tunainya jadi percuma aja ada fitur tarik tunai udah uninstall terus diinstall lagi juga hasilnya sama aja,1
54,2022-12-14 17:41:06,Yeny Efendy,aplikasinya buruk registrasi aja sulit selalu kendala di perekaman wajah sudah mencoba berulangulang kali tetap saja gagal terus padahal wifi lancar paket juga ada pulsa juga ada pencahayaan juga bagus tidak keterang dan tidak kegelapan heran saya adanya aplikasi bukan memudahkan malah lebih ribet tolong diperbaiki lagi aplikasi brimo bri nya,1
55,2022-12-14 11:19:54,Prajoerit Komandan,kepada pihak brimo bri tolong untuk di perbaiki lagi masalah masuk menggunakan finger print sensor untuk kasus di hp saya yg finger print on display saat ingin masuk menggunakan finger print aplikasinya malah langsung mengkonfirmasi finger saya padahal saya belum nempelin jari saya menurut saya ini kurang aman karena tanpa finger print bisa langsung masuk ke dalam sistem aplikasi brimo dan kasus ini hanya terjadi di aplikasi brimo terima kasih,4
56,2022-12-14 10:05:49,Ahmad Kasyif,waw ternyata lebih mudah saya bayangkan dari komentar yang muncul ternyata tergantung penggunaannyajika bijak dan bisa menggunakan nya maka apk ini bagus sekalisaya hanya mohon jaga data saya jangan sampai bocor apalagi ini untuk simpanan,5
57,2022-12-12 22:54:26,Decalvan_ Brothers,semenjak ada fitur indikator koneksi internettranksaksi jadi terbatas banget sihudah pake wifi full jaringanbuka ytttigbahkan main game lancar gamingtapi indikator tetep aja tak kunjung menghijaumending yang versi dulu deh,3
58,2022-12-12 17:18:59,danra alfa,bagus apk nya si tapi tolong untuk diperbaiki bug nya sering blank ketika saya membuka pelayanan tarik tunai sehingga saya perlu untuk mentransfer ke rekening lain untuk penarikan untuk ponsel saya menggunakan narzo 50a,2
59,2022-12-11 20:08:12,mby coyy,tolong tolong dan tolong untuk para mas2 mbk2 it dari bri saya sudah mencoba berulang kali untuk melakukan vidio dipendaftaran brimo tetapi hasilnya selalu koneksi internet dan koneksi internet padahal sudah pakek wifi pribadi yang koneksi nya tinggi tetapi kenapa selalu tidak bisa dan disitu tertulis koneksi internet padahal sudah berlangganan bri lama lo giliran mau buat brimo susahnya minta ampun tolong para it bri untuk diperbaiki lagi apk nya masak kalah sama tetangga sebelah,1
60,2022-12-11 19:21:46,Husni Hidayat,mau masuk aplikasi brimo nya malah koneksi terputus maksudnya apa coba jaringan bagus padahal loh pakek wifi malah gak bisa gmna ini brimo saya susah mau masuk aplikasi nya buat transfer dan tarik tunai tolong dunk perbaiki aplikasi biar saya bisa pakai aplikasi brimo nya,1
61,2022-12-11 02:38:33,Anjelia Syafitri Saragih,kenapa menu tarik tunai di brimo kok loading mulu ya sudah beberapa hari dicoba masih loading aja padahal kuota aman sinyal juga lancar udah hapus data cache bolak balik restart hp berkali2 emang dasarnya aja aplikasinya yang error gimana sih perbaikin dong bug aplikasinya nyusahin orang aja,1
62,2022-12-09 18:52:57,Alfareza,kenapa semenjak ada pembaruan brimo nya jadi banyak ganguan ya sebelum ada versi 2340 sama 2330 aplikasi masih oke tapi semenjak versi nya diperbarui lebih banyak bug contohnya saya tidak bisa mengakses fitur tarik tunai sudah coba menghubungi cs bri tapi masih gk ada hasilnya semoga cepat diperbaiki,1
63,2022-12-09 16:24:43,ari 123,tolong perbaiki dong aplikasinya mau masuk akun aja susahnya minta ampun yang jaringannya bemasalah lah padahal wifi sama data selular jaringannya bagus smua ttep aja gk bisa masuk mana lagi urgent juga bisa gak sih bikin aplikasi mobile banking yang nyaman dan aman buat customernya,1
