content,at,userName,score,application
update malah ngabisin pulsa buat verifikasi lewat sms parah nih bca ribet verifikasi biasa lewat sms sekarang pake ktp sama wajah bikin lama aja mau masuk login nya bintang satuberbicara moga depan lebih baik,2022-12-31 15:33:31,Miftah Assundawi,1,BCA
udah scan dokumen sama scan wajah ulang kali tetep gabisa dipake malah kini data cabang dekat makin efisien aja aplikasi nya,2022-12-31 09:31:31,muhamad maulana ahsan,1,BCA
adminnya jawab selalu monoton mohon kirim screenshoot email twiternya bca jawab udah suruh bank bca dekat baharu datalha apa guna aplikasi kalo ke kantor cabangalasannya dalih hindar tipu onlineyang dibenerkan aplikasi bukan nasabahnyaaplikasimu jelek di rubah,2022-12-31 06:42:45,Lanjutkan Di Kita Official,1,BCA
aplikasi jadi guna masa nali wajah milik nya bisa di coba 3x gagal terus padahal surut moto ktp langsung terus verifikasi wajah tetep gagalbagusan bri mobile ribet sangat kecewa sekali aplikasi bca mobile,2022-12-31 05:59:59,Beizi Nakata,1,BCA
update malah nyusahinlogin beberapa kali tetep aja bisa masukdi perifikasi wajah nya gagal terusmungkin banyak ngeluh tentang initolong koreksi lagiko bca jadi ribet sekarang,2022-12-31 03:45:08,Akhmad Supriyanto,1,BCA
dulu sangat suka aplikasi mbanking koneksi lebih cepet dr lain lebih mudah ada baharu update data pas verifikasi foto gagal terus kecewa saya datang kantor cabang tetap gagal baik aplikasi,2022-12-30 16:32:06,Pipit Mpyt,1,BCA
verifikasi muka gagal terus sangat sulit lambat nasabah transaksi klu msh bnr aplikasi nya knp d rilis k publik jadi jelas tlpn k hallo bca harus nunggu 2 hari kerja,2022-12-30 15:49:33,Cah Banten,1,BCA
qrist terima dana sekarang hilang padahal sangat mudah mau transaksi transfer tombol tampil qrist hilang biasa buat terima transfer pihak mau transfer tinggal scan qrist aja,2022-12-30 11:58:28,Damay Shoppu,4,BCA
teknologi scan isi data ktp otomatis sesuai teknologi scan wajah kurang mumpuni berkalikali coba tempat terang coba ganti hp saja tetap bisa rekomendasi suruh kini data kantor cabang sangat kecewa,2022-12-29 23:51:22,Mochamad Romadhon,1,BCA
masuk jadul guna sms pulsa sampek habis bug mohon kalau lalu wa bank bank lain terimakasih,2022-12-29 21:00:32,Mas Candra,2,BCA
