,full_text,tweet_english
0,ganjar pranowo pak mahfud md moga pimpin kalian pancar hangat keluarga ,eagerness pranowo pak mahfud md may lead you to radiate warmth in the family 
1,dukung mas ganjar pak mahfud dukung pimpin paham butuh aspirasi keluarga ,support mas ganjar pak mahfud support to lead understand need family aspirations 
2,ganjar pranowo gubernur jadi inspirasi mampu satu seni politik ,ganjar pranowo governor can be an inspiration capable of one political art 
3,ganjar pranowo mahfud md pimpin komitmen jabat keluarga rakyat ,eagerness pranowo mahfud md lead not the commitment of the sheriff also the family of the people 4 president
4,sama ganjar mahfud tim kunci hasil maju indonesia ,same odd mahfud key team results advanced indonesia 4 president
5,terimakasih mas ganjar pranowo pak mahfud md atas dedikasi penting rakyat moga sama keluarga jadi kuat bangun negara ,"thank you mas ganjar pranowo pak mahfud md for the important dedication of the people, hopefully the family will be strong to build a country "
6,srimulat ganjar pranowo pasang bukti politik jadi lebih tarik ,srimulat ganjar pranowo pairs political evidence so it is more attractive 
7,kagum betapa mas ganjar mampu jaga imbang tugas pimpin peran kepala keluarga ,amazed how mas ganjar was able to keep the balance of duties in charge of the role of the head of the family 
8,dukung ganjar mahfud tambah kali dukung datang ulama baris lauhil mahfud se priangan timur gas,support odd mahfud add times support come cleric line lauhil mahfud se priangan east gas
9,moga ganjar pranowo mahfud md bawa semangat sama bijak nasional ,may odd pranowo mahfud md bring the same spirit in national wise 4 president
10,dukung penuh mas ganjar pranowo harmonis keluarga nilai tambah buat pimpin lebih makna ,support full mas odd pranowo harmonious family value added to lead more meaning 
11,insana ntt rapat baris dukung ganjarmahfud,insana ntt meeting line support ganjarmahfud
12,sukses mas ganjar pak mahfud md moga pimpin alir lembut air keluarga ,success mas odd mr mahfud md let's lead the gentle flow of family water 
13,sukses mas ganjar pranowo pak mahfud md moga pimpin bawa indonesia puncak jaya ,success mas odd pranowo pak mahfud md moga pimpin Bawa indonesiauncak jaya 4presiden
14,datang gabjar ponpes nurul huda silaturahmi sambang tali kasih sholawat ribu santri terus lantun perca ganjar asuh ruang,come gabjar ponpes nurul huda silaturahmi connect the rope of love sholawat thousand students continue to chant the odd patchwork of foster children in the room
15,sukses selalu mas ganjar pranowo pak mahfud md tim potensi bawa maju besar jatim ,success always mas odd pranowo pak mahfud md is a potential team take forward big jatim 4presiden
16,wah tambah tua nih selamat ulang tahun bro alam ganjar moga makin jadi pribadi keren,"wow, getting older, happy birthday, brother, odd nature, let's hope it becomes more personal, cool"
17,moga peduli keluarga ganjar pranowo didik jadi dorong tingkat kualitas didik indonesia ,let's care about the odd pranowo family of students so encourage the level of quality of Indonesian education 
18,salah sendiri buzzer2 kamu serang ganjar,own fault buzzer2 you attack odd
19,sukses ganjar pranowo canda bukti pimpin ceria mampu buat putus bijak ,odd success pranowo jokes proof that cheerful leaders are able to make wise decisions 
