,full_text,tweet_english
0,gibran bikin solo eks cak imin mungkin cari panggung politik pas,gibran make solo ex cak imin maybe find a political stage right
1,dibilangin benar gibran samsul android bukan manusia bu dokteritu alat acak otak jadi buat orang liat otak gesrek gila efek samping tanpa henti maki orang lebih bahaya hati lama2 busuk efek lanjut,"said to be true gibran samsul android is not a human being, ma'am doctor that is a random tool for the brain so it makes people see the brain friction crazy side effects endlessly cursing people more danger of the liver for a long time rotten further effects"
2,gibran hasil bikin solo eks cak imin mungkin ajar cara tampil layar politik,gibran results make solo ex cak imin maybe teach how to appear on the political screen
3,ijin tamu,guest permissions
4,gibran bikin solo jadi pusat perhati cak imin nampaknya sibuk nyari kipas angin dunia politik,gibran makes solo the center of attention of cak imin seems to be busy looking for the fans of the political world
5,soal sgie mas gibran paling tahu kata cak imin sgie singkat sego goreng iwak endog wis bah kono penting pak ngowah ngowoh,about sgie mas gibran most know the word cak imin short sgie sego goreng iwak endog wis bah kono important pak ngowah ngowoh
6,urang jabar naha ikhlas sebut keun bakal ngadukung gibran ulah poho 2019 dibobodo prabowo,urang jabar naha ikhlas said keun would support gibran ulah poho 2019 dibobodo prabowo
7,bukan reprentasi anak muda layak prestasi bagai tokoh anak muda ajar tabrak konstitusi menciptaka sejarah buruk negeri yang di tiru generasi berikutx,not a representation of young people worthy of achievement like young people who teach to crash the constitution creating a bad history of the country that is imitated by the next generation
8,gibran gesit cak imin lambat kirakira harus gimana nih,gibran nimble cak imin slow kirakira should ya
9,apa iya kalian mau pilih orang dua kali kalah kan jokowiyg kwalitasnya bawah jokowi nama kemunduranharusnya capres gibran bukti gibran lebih baik debatgak cuma joged joged boneka mampang,do you want to choose people twice lose right jokowiyg quality under jokowi the name of the decline should be presidential candidate gibran proof gibran better debate not only jogged jogged dolls mampang
10,ekonomi solo roket terima kasih gibran jakarta jateng maksimal bawah muhaimin,solo economy rocket thank you gibran jakarta central Java maximum below muhaimin
11,yah kalau udah kandang ama gibran mau apa ntar pawang kagak kasih makan siang gratis ekakakka,well if you have a cage ama gibran what do you want ntar the handler does not give you a free lunch ekakakka
12,gibran bikin solo kini cak imin mungkin sibuk cari tempat duduk nyaman arena politik,gibran makes solo now cak imin may be busy looking for a comfortable seat in the political arena
13,iya prestasi banding gibran paman pecat ketua mk tidak punya moral harus kalian punya rasa malu kalau ngtwit jangan jadi manusia sangat jahat bangga satu buat sangat rusak ingat etika junjung,yes the achievement of the gibran appeal uncle fired the chairman mk has no morality you must have shame if you don't become a very bad human being proud of one for being very damaged remember the ethics of upholding
14,video2 gibran lewat tl cuma kukewat2i aja kumpul kuat tahan malu liat ngomong aku yang malu,video2 gibran via tl only kuewat2i just gather strong hold shame see talking I'm the one who's embarrassed
15,gibran bikin solo gemilang bikin geming,gibran make a glorious solo make geming
16,coba jelas,try clear
17,gibran paham cak imin kayak butuh kelas ekonomi,gibran understand cak imin kayak need economy class
18,nggih,"Yes, Sir. "
19,gibran bikin solo eks cak imin mungkin sibuk cari stasiun politik naik tangga sukses,gibran makes solo ex cak imin may be busy looking for a political station up the ladder of success
20,kronologi rawan gibran tembak madura,chronology prone to gibran shoot madura
21,pingin liat gibran debatin si den wadas wan ngibul,pingin see gibran debatin si den wadas wan ngibul
22,gibran efisien cak imin mungkin perlu ajar manajemen waktu,efficient gibran cak imin may need to teach time management
23,temenku bela mati gibran abis muter ulang nih debat pas lagi ngantorceritanya mau bahas apa isi debat cawapresgregetan denger statement gibran jangan serang orang ungkap tidak umum harus cak imin balas yo ndak tau kok tanya,my friend defends death gibran abis muter repeat this debate pas again ngantorcerinya want to discuss what is the content of the debate cawapresgregetan denger statement gibran don't attack people say it's not common should cak imin reply yo ndak know why ask
24,anak haram konstitusiheran ada puji2,constitutional illegitimate child has praise2
25,gibran memang unggul solo jadi contoh hasil jakarta jateng introspeksi,gibran really excels solo so an example of the results of Jakarta Central Java introspection
26,prabowo gibran aliansi buruh jepara siap menang dekade08,prabowo gibran japanese labor alliance ready to win decade08
27,gibran bikin solo eks cak imin seperti sibuk cari jalan keluar buntu politik,gibran make solo ex cak imin like busy looking for a way out of political deadlock
28,gibran bikin solo gemilang cak imin mungkin sibuk cari kunci sukses politik,gibran makes solo scintillating cak imin may be busy looking for the key to political success
29,gibran bikin solo eks cak imin nampaknya nyari tempat duduk panggung politik,gibran make solo ex cak imin seems to be looking for a political stage seat
