,full_text,tweet_english
0,duh mahfud md nyata pernah langgar etika jadi ketua mk,duh mahfud md has actually violated the ethics of being the head of mk
1,kikidaliyo pranowo pimpin rangkul semua pandang suku ras budaya agama hebat mahfud juara debat,kikidaliyo pranowo lead embrace all views tribal race culture great religion mahfud champion debate
2,brarti usaha swasta tsb baru nyata minat aja duit blm kasih lama kontrak resmi brarti sewaktu2 usaha tsb tarik diri investasi pantas saja investor asing blm ada krn investor lokal aja lihat kondisi mahfud 100 benar,brarti private business new real interest just money blm give long official contract brarti when the business withdraws investment just appropriate foreign investors blm there because local investors just look at the conditions mahfud 100 true
3,ganjar mahfud gubernur sukses kini siap bawa alam maju indonesia sama mahfud md wakil presiden,eagle mahfud the successful governor is now ready to bring Indonesia's advanced nature with mahfud md the vice president
4,arsjadrasjid mohmahfudmd cuma pak mahfud beginimendukun umkm selalu sukses hasil mahfud hebat,arsjadrasjid mohmahfudmd just sir mahfud beginimendukun umkm always successful great mahfud results
5,ganjar mahfud koruptor hukum mati,eunuch mahfud corruptor death penalty
6,ganjar mahfud meski pernah damping jokowi mampu bangun citra pimpin independen wibawa,eqar mahfud although ever damping jokowi able to build the image of an authoritative independent leader
7,dukung warga jatim mahfud mahfud md bukan sekadar ingin lanjut tren politik juga dorong dapat pimpin kualitas,support the citizens of jatim mahfud mahfud md not only want to continue the political trend but also encourage to be able to lead the quality
8,ganjar pranowo univpasundan mantaps pak terimakasih semangat supportnya mahasiswa baru hebat mahfud juara debat,eagerness pranowo univpasundan mantaps sir thank you for the spirit of support great new students mahfud champion debate
9,dong tim komitmen masyarakat0000in17283009279779348481739269144586166655ihwan123tue dec 26 072926 0000 20231739548961596432825alhamdulillahdeklarasi jnk para anjengan amp ustadz muda sepriangan menang pranowomahfud md jalan lancar hambat apa,dong community commitment team0000in17283009279779348481739269144586166655ihwan123tue dec 26 072926 0000 20231739548961596432825alhamdulillahdeklarasi jnk para anjengan amp ustadz muda sepriangan win pranowomahfud md road smoothly what obstacles
10,mas mahfud pimpin rakyat selalu dengar aspirasi masyarakat siap juang penting rakyat,"mas Mahfud, the leader of the people, always hears the aspirations of the people ready to fight for the importance of the people"
11,ganjar mahfud sukses gubernur cermin peduli rakyat,eagle mahfud successful governor mirror people care
